日期,一日三餐
2022-11-01,"火腿,牛排,牛排"
2022-11-02,"面包,苹果,马铃薯"
2022-11-03,"马铃薯,面包,鱼"
2022-11-04,"鱼,马铃薯,面包"
2022-11-05,"苹果,火腿,米饭"
2022-11-06,"苹果,马铃薯,米饭"
2022-11-07,"马铃薯,面包,苹果"
2022-11-08,"牛排,芒果,马铃薯"
2022-11-09,"牛排,牛排,面包"
2022-11-10,"面包,鸡肉,米饭"
2022-11-11,"面包,牛排,芒果"
2022-11-12,"火腿,鱼,鸡肉"
2022-11-13,"米饭,米饭,芒果"
2022-11-14,"火腿,鸡肉,马铃薯"
2022-11-15,"苹果,米饭,鸡肉"
2022-11-16,"牛排,苹果,鱼"
2022-11-17,"火腿,米饭,鸡肉"
2022-11-18,"火腿,米饭,牛排"
2022-11-19,"火腿,面包,牛排"
2022-11-20,"鸡肉,米饭,面包"
2022-11-21,"鱼,火腿,苹果"
2022-11-22,"鱼,牛排,芒果"
2022-11-23,"面包,米饭,火腿"
2022-11-24,"苹果,鸡肉,鸡肉"
2022-11-25,"马铃薯,马铃薯,鸡肉"
2022-11-26,"米饭,牛排,苹果"
2022-11-27,"鸡肉,鸡肉,鸡肉"
2022-11-28,"火腿,火腿,鱼"
2022-11-29,"芒果,牛排,火腿"
2022-11-30,"火腿,火腿,苹果"
2022-12-01,"米饭,鸡肉,马铃薯"
2022-12-02,"芒果,芒果,鸡肉"
2022-12-03,"鸡肉,鱼,米饭"
2022-12-04,"芒果,马铃薯,面包"
2022-12-05,"马铃薯,苹果,牛排"
2022-12-06,"马铃薯,鸡肉,米饭"
2022-12-07,"米饭,鱼,苹果"
2022-12-08,"牛排,米饭,米饭"
2022-12-09,"苹果,面包,马铃薯"
2022-12-10,"芒果,米饭,马铃薯"
2022-12-11,"米饭,马铃薯,牛排"
2022-12-12,"芒果,鱼,牛排"
2022-12-13,"鸡肉,面包,鱼"
2022-12-14,"鱼,马铃薯,面包"
2022-12-15,"米饭,苹果,米饭"
2022-12-16,"马铃薯,苹果,米饭"
2022-12-17,"面包,牛排,鸡肉"
2022-12-18,"马铃薯,马铃薯,火腿"
2022-12-19,"牛排,鸡肉,面包"
2022-12-20,"米饭,鱼,马铃薯"
2022-12-21,"米饭,马铃薯,米饭"
2022-12-22,"马铃薯,米饭,米饭"
2022-12-23,"鱼,苹果,火腿"
2022-12-24,"马铃薯,面包,牛排"
2022-12-25,"苹果,芒果,鱼"
2022-12-26,"苹果,米饭,火腿"
2022-12-27,"苹果,鸡肉,面包"
2022-12-28,"芒果,鱼,鱼"
2022-12-29,"苹果,米饭,芒果"
2022-12-30,"鸡肉,苹果,鱼"
2022-12-31,"苹果,马铃薯,鱼"
2023-01-01,"牛排,米饭,面包"
2023-01-02,"芒果,马铃薯,米饭"
2023-01-03,"牛排,鱼,马铃薯"
2023-01-04,"鱼,马铃薯,鱼"
2023-01-05,"面包,鱼,鸡肉"
2023-01-06,"牛排,火腿,芒果"
2023-01-07,"鱼,牛排,芒果"
2023-01-08,"面包,牛排,苹果"
2023-01-09,"芒果,苹果,鸡肉"
2023-01-10,"芒果,面包,面包"
2023-01-11,"面包,米饭,面包"
2023-01-12,"鱼,马铃薯,火腿"
2023-01-13,"芒果,牛排,面包"
2023-01-14,"牛排,苹果,鱼"
2023-01-15,"苹果,鱼,鸡肉"
2023-01-16,"米饭,牛排,鸡肉"
2023-01-17,"鸡肉,面包,米饭"
2023-01-18,"米饭,苹果,米饭"
2023-01-19,"米饭,米饭,芒果"
2023-01-20,"面包,鱼,牛排"
2023-01-21,"鱼,鱼,火腿"
2023-01-22,"鸡肉,芒果,鱼"
2023-01-23,"米饭,鸡肉,马铃薯"
2023-01-24,"面包,马铃薯,火腿"
2023-01-25,"苹果,面包,火腿"
2023-01-26,"鱼,火腿,米饭"
2023-01-27,"芒果,苹果,面包"
2023-01-28,"米饭,鸡肉,火腿"
2023-01-29,"芒果,米饭,马铃薯"
2023-01-30,"牛排,鸡肉,鸡肉"
2023-01-31,"火腿,鱼,鸡肉"
2023-02-01,"芒果,鱼,马铃薯"
2023-02-02,"鸡肉,牛排,米饭"
2023-02-03,"火腿,苹果,火腿"
2023-02-04,"苹果,苹果,火腿"
2023-02-05,"苹果,火腿,芒果"
2023-02-06,"苹果,牛排,面包"
2023-02-07,"鸡肉,火腿,鸡肉"
2023-02-08,"鸡肉,苹果,牛排"
